"naam","omschrijving","categorie","gm","id"
"kegelspel","kegelspel","9","Nee","2879"
"ketting","ketting","3","Nee","2880"
"kist","kist","3","Nee","2881"
"kleding","kleding","3","Nee","2882"
"kleding reserve","kleding reserve","3","Nee","2883"
"kleed","kleed","3","Nee","2884"
"kleefdoek","kleefdoek","9","Nee","2885"
"kleurplaat","kleurplaat","10","Nee","2886"
"kleurpotlood","kleurpotlood","3","Nee","2887"
"klok","klok","8","Nee","2888"
"knikker","knikker","9","Nee","2889"
"knikkerdoolhof","knikkerdoolhof","9","Nee","2890"
"knotshockey","knotshockey","9","Nee","2891"
"knutselmateriaal","knutselmateriaal","10","Nee","2892"
"koffiezet apparaat 80 kops","koffiezet apparaat 80 kops","1","Nee","2893"
"koffiezetapparaat","koffiezetapparaat","1","Nee","2894"
"koppeling slang","koppeling slang","3","Nee","2895"
"kraaltjes","kraaltjes","10","Nee","2896"
"krat fris leeg","krat fris leeg","3","Ja","2899"
"krat wit","krat wit","3","Nee","2900"
"krijt","krijt","10","Nee","2901"
"krijt bord klein","krijt bord klein","10","Nee","2902"
"krijt stoep","krijt stoep","10","Nee","2903"
"krijtbord groot","krijtbord groot","3","Nee","2904"
"kruiptunnel","kruiptunnel","9","Nee","2905"
"kruisje rondje groot","kruisje rondje groot","9","Nee","2906"
"kurken","kurken","10","Nee","2907"
"kussen","kussen","3","Nee","2908"
"kwasten","kwasten","3","Nee","2909"
"ladder","ladder","3","Nee","2910"
"laken","laken","10","Nee","2911"
"laptop","laptop","4","Nee","2912"
"legpuzzel","legpuzzel hout","9","Nee","2913"
"lepel ijzer","lepel ijzer","3","Nee","2914"
"lijmpotje","lijmpotje","3","Nee","2915"
"loopskis (paar)","loopskis (paar)","9","Nee","2919"
"loopwipje","loopwipje","9","Nee","2920"
"springkussen","luchtkussen","9","Ja","2921"
"lucifers","lucifers","10","Nee","2922"
"schrobbers","schrobbers","3","Nee","2923"
"make up spullen","make up spullen","10","Nee","2924"
"gymmat dik","matten dik","9","Ja","2926"
"gymmat dun","matten dun","9","Ja","2927"
"meetlint","meetlint","3","Nee","2928"
"megafoon","megafoon","4","Nee","2929"
"memory zomerspelen  algemeen","memory spel","9","Nee","2930"
"microfoon draadloos","microfoon draadloos","4","Nee","2931"
"mikado groot","mikado groot","9","Nee","2932"
"moer","moer","10","Nee","2933"
"muizenmepspel","muizenmepspel","9","Nee","2934"
"muntje plons","muntje plons","9","Nee","2935"
"muntjes","muntjes","3","Nee","2936"
"muziekinstrumenten","muziekinstrumenten","3","Nee","2937"
"naamkaartjes","naamkaartjes","3","Nee","2938"
"nietmachine","nietmachine","3","Nee","2939"
"nijptang","nijptang","3","Nee","2940"
"nummerblokken","nummerblokken","9","Nee","2941"
"oliedrum","oliedrum","3","Nee","2942"
"omgooibordjes","omgooibordjes","3","Nee","2943"
"opblaas boot","opblaas boot","1","Nee","2944"
"pallet decor","pallet decor","3","Nee","2946"
"pallets hutten","pallets hutten","10","Nee","2947"
"papier knutsel","papier knutsel","10","Nee","2948"
"parachute","parachute","9","Nee","2949"
"paspop","paspop","3","Nee","2950"
"perforator","perforator","3","Nee","2951"
"pingpongbal overbrengspel","pingpongbal overbrengspel","9","Nee","2952"
"pionnen","pionnen","9","Nee","2953"
"plakband breed rol","plakband breed rol","10","Nee","2954"
"plinko","plinko","9","Nee","2955"
"podiumdeel","podiumdeel","3","Nee","2956"
"poffertjespan","poffertjespan","3","Nee","2957"
"pokerset","pokerset","9","Nee","2958"
"prikkabel","prikkabel","3","Nee","2959"
"printer","printer","3","Nee","2960"
"puntenslijper","puntenslijper","3","Nee","2961"
"pvc buis","pvc buis","10","Nee","2962"
"rad van fortuin","rad van fortuin","9","Nee","2963"
"ren je rot borden","ren je rot borden","9","Nee","2964"
"rietjes","rietjes","10","Nee","2965"
"ringen ringwerpen","ringen ringwerpen","9","Nee","2966"
"ringwerpspel","ringwerpspel","9","Nee","2967"
"rode loper","rode loper","3","Nee","2968"
"rolstoel","rolstoel","1","Nee","2969"
"Rookmachine klein","Rookmachine klein","4","Nee","2970"
"satestokjes lang","satestokjes lang","10","Nee","2971"
"schaar groot","schaar groot","3","Nee","2972"
"schaar kleuter","schaar kleuter","3","Nee","2973"
"schandpaal of schavot","schandpaal of schavot","9","Nee","2974"
"schatkist","schatkist","3","Nee","2975"
"schelpen","schelpen","3","Nee","2976"
"schep","schep","3","Nee","2977"
"schmink extra","schmink extra","10","Nee","2978"
"schminkkoffer","schminkkoffer","10","Nee","2979"
"schorten","schorten","3","Nee","2980"
"scoops","scoops","9","Nee","2982"
"servetten","servetten","10","Nee","2983"
"shutle","shutle","9","Nee","2984"
"sjablonen","sjablonen","1","Nee","2985"
"sjoelbak groot","sjoelbak groot","9","Ja","2986"
"sjoelbak haaks","sjoelbak haaks","9","Nee","2987"
"sjoelbak normaal","sjoelbak normaal","9","Nee","2988"
"sjoelbak spiegel","sjoelbak spiegel","9","Nee","2989"
"skippybal","skippybal","9","Nee","2990"
"slang klem","slang klem","3","Nee","2991"
"sleg ijzer","sleg ijzer","3","Nee","2992"
"sleutels","sleutels","3","Nee","2993"
"soundmixer","soundmixer","4","Nee","2994"
"spiegel","spiegel","3","Nee","2995"
"spiegelschrijven","spiegelschrijven","9","Nee","2996"
"spoelbak","spoelbak","3","Nee","2997"
"spoelborstel","spoelborstel","3","Nee","2998"
"sponzen","sponzen","3","Nee","2999"
"statafel","statafel","3","Nee","3000"
"stekkerblok","stekkerblok","3","Nee","3001"
"stelten","stelten","9","Nee","3002"
"step","step","9","Nee","3003"
"stiften dik kleur","stiften dik kleur","10","Nee","3004"
"stiften dik zwart","stiften dik zwart","10","Nee","3005"
"stiften normaal","stiften normaal","10","Nee","3006"
"stoel","stoel","3","Nee","3007"
"stof knutsel","stof knutsel","10","Nee","3008"
"stokpaardje","stokpaardje","9","Nee","3009"
"stokvangspel","stokvangspel","9","Nee","3010"
"stopwatch","stopwatch","9","Nee","3011"
"stormbaan","stormbaan","9","Nee","3012"
"strandbal","strandbal","9","Nee","3014"
"stroboscoop","stroboscoop","4","Nee","3015"
"stroomhaspel 10 mtr","stroomhaspel 10 mtr","3","Nee","3016"
"stucloper","stucloper","3","Nee","3017"
"tacker","tacker","3","Nee","3018"
"tafel","tafel","3","Nee","3019"
"tafel tennis racket","tafel tennis racket","9","Nee","3020"
"tafelkegelspel","tafelkegelspel","9","Nee","3021"
"tafeltennistafel","tafeltennistafel","9","Nee","3022"
"tandenstoker","tandenstoker","10","Nee","3023"
"tennisracket hout","tennisracket hout","9","Nee","3024"
"tennisracket plastic","tennisracket plastic","9","Nee","3025"
"theedoek","theedoek","3","Nee","3026"
"tollenspel","tollenspel","9","Nee","3028"
"touw springtouw","touw springtouw","9","Nee","3029"
"touw touwtrek","touw touwtrek","9","Nee","3030"
"trampoline","trampoline","9","Nee","3031"
"trapezoide","trapezoide","9","Ja","3032"
"trekbiljart","trekbiljart","9","Nee","3033"
"trekkers","trekkers","3","Nee","3034"
"trou madame","trou madame","9","Nee","3035"
"tuinslang","tuinslang","3","Nee","3036"
"tv","tv","8","Nee","3037"
"veiligheidsbril","veiligheidsbril","1","Nee","3039"
"veiligheidspeld","veiligheidspeld","3","Nee","3040"
"verkleedkleren","verkleedkleren","8","Nee","3041"
"videoband","videoband","3","Nee","3042"
"vier op een rij","vier op een rij","9","Nee","3043"
"visspel","vishengelspel","9","Nee","3044"
"vlaggen","vlaggen","3","Nee","3046"
"vlaggetjes haspel","vlaggetjes haspel","3","Nee","3047"
"vliegend tapijt","vliegend tapijt","9","Nee","3048"
"vlot","vlot","1","Ja","3049"
"voeldoos","voeldoos","9","Nee","3050"
"voeldoos attributen","voeldoos attributen","3","Nee","3051"
"voetbal gatenbord","voetbal gatenbord","9","Nee","3052"
"volleybalnet","volleybalnet","9","Nee","3053"
"volleybalpalen","volleybalpalen","9","Nee","3054"
"vouwblaadjes","vouwblaadjes","10","Nee","3055"
"vuilnisbak normaal","vuilnisbak normaal","1","Nee","3056"
"vuilniszak doorzichtig","vuilniszak doorzichtig","10","Nee","3057"
"vuilniszak geel","vuilniszak geel","10","Nee","3058"
"waarzegbol","waarzegbol","9","Nee","3059"
"wasco doosje","wasco doosje","10","Nee","3060"
"waterpistool","waterpistool","3","Nee","3061"
"waterpomptang","waterpomptang","3","Nee","3062"
"waxinelichtjes","waxinelichtjes","10","Nee","3063"
"werpspel","werpspel","9","Nee","3064"
"wiebelbak","wiebelbak","9","Nee","3065"
"wijnglaasje plastic","wijnglaasje plastic","3","Nee","3066"
"zaklamp","zaklamp","3","Nee","3067"
"zandloper","zandloper","6","Nee","3068"
"zeil dek","zeil dek","3","Nee","3069"
"zeil plastic","zeil plastic","10","Nee","3070"
"zenuwspiraal","zenuwspiraal","9","Nee","3073"
"zweedse bank","zweedse bank","3","Ja","3074"
"zaagplaat","zaagplaat","10","Nee","3075"
"barbecue groot","barbecue groot","7","Nee","3076"
"barbecue klein","barbecue klein","7","Nee","3077"
"barkruk","barkruk","7","Nee","3078"
"BBQ tangen","BBQ tangen","7","Nee","3079"
"gamellen","gamellen","7","Nee","3081"
"gasfles","gasfles","7","Nee","3083"
"gasstel","gasstel","7","Nee","3084"
"haring hout","haring hout","7","Nee","3085"
"jerrycan","jerrycan","3","Nee","3087"
"pan 20 ltr","pan 20 ltr","7","Nee","3088"
"piopalen blauw (1.5 mtr)","piopalen blauw (1.5 mtr)","7","Nee","3089"
"piopalen geel (3.75 mtr)","piopalen geel (3.75 mtr)","7","Ja","3090"
"piopalen groen (2.75 mtr)","piopalen groen (2.75 mtr)","7","Ja","3091"
"piopalen rood (1 mtr)","piopalen rood (1 mtr)","7","Nee","3092"
"piopalen wit (4-7 mtr)","piopalen wit (4-7 mtr)","7","Ja","3093"
"piotouw krat","piotouw krat","7","Nee","3094"
"piotouw stuk","piotouw stuk","7","Nee","3095"
"pollepel","pollepel","7","Nee","3096"
"slaapzak","slaapzak","7","Nee","3097"
"vuurton","vuurton","3","Nee","3099"
"opblaasbaar (water)badje","opblaasbaar (water)badje","9","Ja","3101"
"krijtwagen","krijtwagen","3","Nee","3102"
"Post-its",,"3","nee","3104"
"pen",,"3","nee","3105"
"stiften textiel",,"3","nee","3106"
"Bellenblaas",,"9","nee","3108"
"Licht staafjes/sterren",,"6","nee","3109"
"landbouw stokjes",,"6","nee","3111"
"leer",,"10","nee","3112"
"party tent groot",,"1","nee","3113"
"snack",,"10","nee","3114"
"frituurpan",,"2","nee","3115"
"keuken bijl",,"3","nee","3116"
"hakblok",,"3","nee","3117"
"houtblokken",,"3","nee","3118"
"lamp standaard",,"7","nee","3119"
"Telefoonkaarten",,"1","nee","3123"
"Glazen potje",,"5","nee","3124"
"boodschappentas/mandje",,"1","nee","3125"
"vliegenmepper",,"1","nee","3127"
"tierips",,"1","nee","3128"
"Glitters",,"10","nee","3132"
"Diepvries erwt",,"10","nee","3133"
"sealvellen",,"3","nee","3134"
"eierwekker",,"1","nee","3135"
"Water",,"6","nee","3136"
"tape",,"3","nee","3137"
"pak vla",,"2","nee","3138"
"Waterbalon",,"9","nee","3139"
"Dartpijlen",,"9","nee","3140"
"Bel",,"9","nee","3141"
"snoetenpoetsers",,"10","nee","3143"
"stempelkaarten",,"1","nee","3144"
"bekerhelmspel",,"1","nee","3145"
"plastic bakjes",,"1","nee","3146"
"schmink sponsjes/kwasten",,"1","nee","3148"
"tuinslang spuitstuk",,"1","nee","3149"
"werkhandschoenen",,"3","nee","3150"
"Krant",,"3","nee","3151"
"Zwart Wit Tegels",,"3","nee","3152"
"Stoeptegels",,"1","nee","3153"
"Rijplaten",,"1","nee","3154"
"Funslang (spel)",,"9","ja","3155"
"Jurkvoetbal",,"9","nee","3156"
"Unihockeygoal",,"9","nee","3157"
"Duimstok",,"1","nee","3158"
"IBC-vaten",,"6","nee","3159"
"Deksels",,"9","nee","3162"
"Speciekuip",,"8","nee","3163"
"gieter (klein)",,"3","nee","3165"
"badmintonpaal",,"9","nee","3166"
"eendenvisspel",,"6","nee","3167"
"tie wraps",,"3","nee","3168"
"aardappelschilmesje",,"5","nee","3169"
"Badlakens",,"3","nee","3170"
"Shotglaasje",,"3","nee","3172"
"T-shirt (wit)",,"10","nee","3173"
"Zwaarden (rubber)",,"3","nee","3174"
"Zandzakjes",,"3","nee","3175"
"Vormpjes voor zandbak",,"3","nee","3176"
"Knackworst Halal",,"2","nee","3177"
"Appelmoes",,"2","nee","3178"
"Emmer klein",,"1","nee","3179"
"Kleinduimpjes",,"1","nee","3180"
"Klaptafel scouting",,"7","nee","3181"
"Klapbank scouting",,"7","nee","3182"
"Spijkerpoepen krat",,"9","nee","3183"
"Medische spuit",,"0","nee","3184"
"laboranten bril",,"0","nee","3185"
"reageerbuisjes",,"0","nee","3187"
"Spaghetti",,"2","nee","3189"
"Ei",,"2","nee","3190"
"blik ananas",,"2","nee","3191"
"Eierkoek",,"2","nee","3192"
"ijsblokjes",,"2","nee","3194"
